"id","run_date","district_id","district_name","catch_daily","catch_cumulative","escapement_daily","escapement_cumulative","in_river_estimate","total_run","created_at"
"148","07-11-2023","nushagak","Nushagak","253918","9435175","286229","4177604","0","13612779",""
"149","07-11-2023","togiak","Togiak","12920","76259","2196","33126","0","109385",""
"150","07-13-2023","ugashik","Ugashik","206845","948105","82482","340922","200000","1489027",""
"151","07-13-2023","egegik","Egegik","684655","8385914","50298","923598","0","9309512",""
"152","07-13-2023","naknek","Naknek-Kvichak","1200612","7683589","978612","4414824","400000","12498413",""
"153","07-13-2023","nushagak","Nushagak","410252","9945067","75699","4433162","0","14378229",""
"154","07-13-2023","togiak","Togiak","11923","100079","7710","45654","0","145733",""
"155","07-14-2023","ugashik","Ugashik","128927","1077032","100140","441062","225000","1743094",""
"156","07-14-2023","egegik","Egegik","576917","8962831","158196","1081794","0","10044625",""
"157","07-14-2023","naknek","Naknek-Kvichak","1584868","9268457","380844","4795668","150000","14214125",""
"158","07-14-2023","nushagak","Nushagak","678542","10623609","55722","4488884","0","15112493",""
"159","07-14-2023","togiak","Togiak","19280","119359","10026","55680","0","175039",""
"160","07-15-2023","ugashik","Ugashik","242941","1319973","106956","548018","250000","2117991",""
"161","07-15-2023","egegik","Egegik","464016","9426847","165462","1247256","0","10674103",""
"162","07-15-2023","naknek","Naknek-Kvichak","981414","10249871","180180","4975848","100000","15325719",""
"163","07-15-2023","nushagak","Nushagak","377037","11000646","80678","4569562","0","15570208",""
"164","07-15-2023","togiak","Togiak","15755","135114","7404","63084","0","198198",""
"165","07-16-2023","ugashik","Ugashik","258923","1578896","85770","633788","0","2212684",""
"166","07-16-2023","egegik","Egegik","431844","9858691","130056","1377312","0","11236003",""
"167","07-16-2023","naknek","Naknek-Kvichak","494747","10744618","252198","5228046","450000","16422664",""
"168","07-16-2023","nushagak","Nushagak","230582","11231228","72317","4641879","0","15873107",""
"169","07-16-2023","togiak","Togiak","12976","148090","7818","70902","0","218992",""
"170","07-17-2023","ugashik","Ugashik","223148","1802044","94878","728666","0","2530710",""
"171","07-17-2023","egegik","Egegik","313571","10172262","76464","1453776","0","11626038",""
"172","07-17-2023","naknek","Naknek-Kvichak","343289","11087907","272634","5500680","300000","16888587",""
"173","07-17-2023","nushagak","Nushagak","139190","11370418","67155","4709034","0","16079452",""
"174","07-17-2023","togiak","Togiak","21469","169559","5700","76602","0","246161",""
"175","07-18-2023","ugashik","Ugashik","148019","1950063","131406","860072","0","2810135",""
"176","07-18-2023","egegik","Egegik","254317","10426579","29232","1483008","0","11909587",""
"177","07-18-2023","naknek","Naknek-Kvichak","218964","11306871","161436","5662116","0","16968987",""
"178","07-18-2023","nushagak","Nushagak","74366","11444784","49390","4758424","0","16203208",""
"179","07-18-2023","togiak","Togiak","25718","195277","6840","83442","0","278719",""
"180","07-19-2023","ugashik","Ugashik","81400","2031463","140634","1000706","0","3032169",""
"181","07-19-2023","egegik","Egegik","283693","10710272","19224","1502232","0","12212504",""
"182","07-19-2023","naknek","Naknek-Kvichak","446024","11752895","69804","5731920","0","17484815",""
"183","07-19-2023","nushagak","Nushagak","99099","11543883","41960","4800384","0","16344267",""
"184","07-19-2023","togiak","Togiak","22495","217772","12600","96042","0","313814",""
"185","07-20-2023","ugashik","Ugashik","67298","2098761","70338","1071044","0","3169805",""
"186","07-20-2023","egegik","Egegik","203215","10913487","20412","1522644","0","12436131",""
"187","07-20-2023","naknek","Naknek-Kvichak","350518","12103413","54324","5786244","0","17889657",""
"188","07-20-2023","nushagak","Nushagak","94229","11638112","26181","4826565","0","16464677",""
"189","07-20-2023","togiak","Togiak","10748","228520","13452","109494","0","338014",""
"190","06-17-2024","ugashik","Ugashik","1212","1212","0","0","0","1212",""
"191","06-17-2024","egegik","Egegik","5111","6150","48","48","0","6198",""
"192","06-17-2024","togiak","Togiak","0","0","0","0","0","0",""
"193","06-18-2024","ugashik","Ugashik","2186","3398","0","0","0","3398",""
"194","06-18-2024","egegik","Egegik","0","6150","0","48","0","6198",""
"195","06-18-2024","naknek","Naknek-Kvichak","325","413","0","0","0","413",""
"196","06-19-2024","ugashik","Ugashik","4462","7860","0","0","0","7860",""
"197","06-19-2024","egegik","Egegik","15791","21941","48","96","0","22037",""
"198","06-19-2024","naknek","Naknek-Kvichak","581","994","0","0","0","994",""
"199","06-20-2024","ugashik","Ugashik","10722","18582","0","0","0","18582",""
"200","06-20-2024","egegik","Egegik","0","21941","2658","2754","0","24695",""
"201","06-20-2024","naknek","Naknek-Kvichak","611","1605","0","0","0","1605",""
"202","06-21-2024","ugashik","Ugashik","3456","22038","0","0","0","22038",""
"203","06-21-2024","egegik","Egegik","62142","84083","1116","3870","0","87953",""
"204","06-21-2024","naknek","Naknek-Kvichak","211","1816","48","48","0","1864",""
"205","06-22-2024","ugashik","Ugashik","0","22038","0","0","0","22038",""
"206","06-22-2024","egegik","Egegik","0","84083","480","4350","0","88433",""
"207","06-22-2024","naknek","Naknek-Kvichak","0","1816","294","342","0","2158",""
"208","06-23-2024","ugashik","Ugashik","24576","46614","0","0","0","46614",""
"209","06-23-2024","egegik","Egegik","97020","181103","522","4872","0","185975",""
"210","06-23-2024","naknek","Naknek-Kvichak","0","1816","210","552","0","2368",""
"211","06-24-2024","ugashik","Ugashik","0","46614","0","0","0","46614",""
"212","06-24-2024","egegik","Egegik","63849","244952","30","4902","0","249854",""
"213","06-24-2024","naknek","Naknek-Kvichak","0","1816","246","798","0","2614",""
"214","06-24-2024","togiak","Togiak","1598","2057","0","0","0","2057",""
"215","06-25-2024","ugashik","Ugashik","66199","112813","0","0","0","112813",""
"216","06-25-2024","egegik","Egegik","82220","327172","6942","11844","0","339016",""
"217","06-25-2024","naknek","Naknek-Kvichak","26593","28409","3738","4536","0","32945",""
"218","06-25-2024","togiak","Togiak","1024","3081","0","0","0","3081",""
"219","06-26-2024","ugashik","Ugashik","0","112813","0","0","0","112813",""
"220","06-26-2024","egegik","Egegik","0","327172","246","12090","0","339262",""
"221","06-26-2024","naknek","Naknek-Kvichak","0","28409","210","4746","0","33155",""
"222","06-26-2024","nushagak","Nushagak","247676","271660","557172","850045","0","1121705",""
"223","06-26-2024","togiak","Togiak","57","3138","0","0","0","3138",""
"224","06-27-2024","ugashik","Ugashik","95795","208608","3462","3462","0","212070",""
"225","06-27-2024","egegik","Egegik","170359","497531","79578","91668","0","589199",""
"226","06-27-2024","naknek","Naknek-Kvichak","49859","78268","1800","6546","0","84814",""
"227","06-27-2024","nushagak","Nushagak","364784","636444","729879","1579924","0","2216368",""
"228","06-27-2024","togiak","Togiak","1487","4625","0","0","0","4625",""
"229","06-28-2024","ugashik","Ugashik","0","208608","7188","10650","0","219258",""
"230","06-28-2024","egegik","Egegik","71815","569346","96390","188058","0","757404",""
"231","06-28-2024","naknek","Naknek-Kvichak","38578","116846","2430","8976","0","125822",""
"232","06-28-2024","nushagak","Nushagak","415561","1052005","705791","2285715","0","3337720",""
"233","06-28-2024","togiak","Togiak","673","5298","0","0","0","5298",""
"234","06-29-2024","ugashik","Ugashik","106372","314980","9318","19968","0","334948",""
"235","06-29-2024","egegik","Egegik","0","569346","19902","207960","40000","817306",""
"236","06-29-2024","naknek","Naknek-Kvichak","10581","127427","4740","13716","200000","341143",""
"237","06-29-2024","nushagak","Nushagak","676494","1728499","542719","2828434","0","4556933",""
"238","06-29-2024","togiak","Togiak","0","5298","0","0","0","5298",""
"239","06-30-2024","ugashik","Ugashik","0","314980","12084","32052","40000","387032",""
"240","06-30-2024","egegik","Egegik","121242","690588","53400","261360","30000","981948",""
"241","06-30-2024","naknek","Naknek-Kvichak","89374","216801","23598","37314","200000","454115",""
"242","06-30-2024","nushagak","Nushagak","731323","2459822","273765","3102199","0","5562021",""
"243","06-30-2024","togiak","Togiak","0","5298","0","0","0","5298",""
"244","07-01-2024","ugashik","Ugashik","92362","407342","8304","40356","30000","477698",""
"245","07-01-2024","egegik","Egegik","108642","799230","12480","273840","15000","1088070",""
"246","07-01-2024","naknek","Naknek-Kvichak","131352","348153","93990","131304","150000","629457",""
"247","07-01-2024","nushagak","Nushagak","442069","2901891","259055","3361254","0","6263145",""
"248","07-01-2024","togiak","Togiak","5155","10453","0","0","0","10453",""
"249","07-02-2024","ugashik","Ugashik","0","407342","18132","58488","40000","505830",""
"250","07-02-2024","egegik","Egegik","234020","1033250","9222","283062","30000","1346312",""
"251","07-02-2024","naknek","Naknek-Kvichak","114834","462987","118038","249342","180000","892329",""
"252","07-02-2024","nushagak","Nushagak","504524","3406415","355162","3716416","0","7122831",""
"253","07-02-2024","togiak","Togiak","4864","15317","0","0","0","15317",""
"254","07-03-2024","ugashik","Ugashik","247824","655166","26994","85482","60000","800648",""
"255","07-03-2024","egegik","Egegik","392812","1426062","50040","333102","100000","1859164",""
"256","07-03-2024","naknek","Naknek-Kvichak","403500","866487","93888","343230","250000","1459717",""
"257","07-03-2024","nushagak","Nushagak","574418","3980833","229257","3945673","0","7926506",""
"258","07-03-2024","togiak","Togiak","6692","22009","0","0","0","22009",""
"259","07-04-2024","ugashik","Ugashik","218266","873432","32970","118452","170000","1161884",""
"260","07-04-2024","egegik","Egegik","460061","1886123","144024","477126","100000","2463249",""
"261","07-04-2024","naknek","Naknek-Kvichak","397365","1263852","250374","593604","330000","2187456",""
"262","07-04-2024","nushagak","Nushagak","1539437","5520270","177535","4123208","0","9643478",""
"263","07-04-2024","togiak","Togiak","3915","25924","0","0","0","25924",""
"264","07-05-2024","ugashik","Ugashik","315700","1189132","52272","170724","200000","1559856",""
"265","07-05-2024","egegik","Egegik","398016","2284139","167742","644868","150000","3079007",""
"266","07-05-2024","naknek","Naknek-Kvichak","698547","1962399","558840","1152444","1400000","4514843",""
"267","07-05-2024","nushagak","Nushagak","1006859","6527129","349180","4472388","0","10999517",""
"268","07-05-2024","togiak","Togiak","7420","33344","828","828","0","34172",""
"269","07-06-2024","ugashik","Ugashik","250590","1439722","23586","194310","300000","1934032",""
"270","07-06-2024","egegik","Egegik","341240","2625379","135582","780450","150000","3555829",""
"271","07-06-2024","naknek","Naknek-Kvichak","590602","2553001","842508","1994952","1200000","5747953",""
"272","07-06-2024","nushagak","Nushagak","744739","7271868","322251","4794639","0","12066507",""
"273","07-06-2024","togiak","Togiak","8249","41593","4974","5802","0","47395",""
"274","07-07-2024","ugashik","Ugashik","296494","1736216","78660","272970","450000","2459186",""
"275","07-07-2024","egegik","Egegik","317608","2942987","102816","883266","150000","3976253",""
"276","07-07-2024","naknek","Naknek-Kvichak","318466","2871467","976932","2971884","1300000","7143351",""
"277","07-07-2024","nushagak","Nushagak","563626","7835494","292635","5087274","0","12922768",""
"278","07-07-2024","togiak","Togiak","7414","49007","5172","10974","0","59981",""
"279","07-08-2024","ugashik","Ugashik","276177","2012393","189144","462114","550000","3024507",""
"280","07-08-2024","egegik","Egegik","229131","3172118","66204","949470","75000","4196588",""
"281","07-08-2024","naknek","Naknek-Kvichak","153225","3024692","1137774","4109658","1000000","8134350",""
"282","07-08-2024","nushagak","Nushagak","245019","8080513","208042","5295316","0","13375829",""
"283","07-08-2024","togiak","Togiak","12268","61275","4656","15630","0","76905",""
"284","07-09-2024","ugashik","Ugashik","241680","2254073","205542","667656","550000","3471729",""
"285","07-09-2024","egegik","Egegik","156166","3328284","24888","974358","30000","4332642",""
"286","07-09-2024","naknek","Naknek-Kvichak","495196","3519888","1053444","5163102","1200000","9882990",""
"287","07-09-2024","nushagak","Nushagak","251578","8332091","161949","5457265","0","13789356",""
"288","07-09-2024","togiak","Togiak","9596","70871","7914","23544","0","94415",""
"289","07-10-2024","ugashik","Ugashik","196785","2450858","107928","775584","400000","3626442",""
"290","07-10-2024","egegik","Egegik","197704","3525988","9594","983952","0","4509940",""
"291","07-10-2024","naknek","Naknek-Kvichak","1163866","4683754","694254","5857356","500000","11041110",""
"292","07-10-2024","nushagak","Nushagak","844118","9176209","91840","5549105","0","14725314",""
"293","07-10-2024","togiak","Togiak","8041","78912","15516","39060","0","117972",""
"294","07-11-2024","ugashik","Ugashik","212404","2663262","104460","880044","250000","3793306",""
"295","07-11-2024","egegik","Egegik","205600","3731588","5148","989100","0","4720688",""
"296","07-11-2024","naknek","Naknek-Kvichak","329598","5013352","317658","6175014","400000","11588366",""
"297","07-11-2024","nushagak","Nushagak","314957","9491166","93430","5642535","0","15133701",""
"298","07-11-2024","togiak","Togiak","12390","91302","8052","47112","0","138414",""
"299","07-12-2024","ugashik","Ugashik","171790","2835052","97422","977466","300000","4112518",""
"300","07-12-2024","egegik","Egegik","143343","3874931","16224","1005324","0","4880255",""
"301","07-12-2024","naknek","Naknek-Kvichak","1103641","6116993","210822","6385836","550000","13052829",""
"302","07-12-2024","nushagak","Nushagak","473641","9964807","122687","5765222","0","15730029",""
"303","07-12-2024","togiak","Togiak","5008","96310","5634","52746","0","149056",""
"304","07-13-2024","ugashik","Ugashik","177436","3012488","86856","1064322","250000","4326810",""
"305","07-13-2024","egegik","Egegik","132436","4007367","15066","1020390","0","5027757",""
"306","07-13-2024","naknek","Naknek-Kvichak","421810","6538803","234540","6620376","1500000","14659179",""
"307","07-13-2024","nushagak","Nushagak","280598","10245405","151836","5917058","0","16162463",""
"308","07-13-2024","togiak","Togiak","14252","110562","4416","57162","0","167724",""
"309","07-14-2024","ugashik","Ugashik","141840","3154328","100266","1164588","250000","4568916",""
"310","07-14-2024","egegik","Egegik","99352","4106719","13266","1033656","0","5140375",""
"311","07-14-2024","naknek","Naknek-Kvichak","0","6538803","277914","6898290","1800000","15237093",""
"312","07-14-2024","nushagak","Nushagak","383730","10629135","180982","6098040","0","16727175",""
"313","07-14-2024","togiak","Togiak","10220","120782","4380","61542","0","182324",""
"314","07-15-2024","ugashik","Ugashik","203927","3358255","94140","1258728","350000","4966983",""
"315","07-15-2024","egegik","Egegik","190319","4297038","16422","1050078","0","5347116",""
"316","07-15-2024","naknek","Naknek-Kvichak","25465","6564268","582270","7480560","700000","14744828",""
"317","07-15-2024","nushagak","Nushagak","325502","10954637","162617","6260657","0","17215294",""
"318","07-15-2024","togiak","Togiak","23906","144688","4488","66030","0","210718",""
"319","07-16-2024","ugashik","Ugashik","207824","3566079","107442","1366170","350000","5282249",""
"320","07-16-2024","egegik","Egegik","138160","4435198","23430","1073508","0","5508706",""
"321","07-16-2024","naknek","Naknek-Kvichak","592725","7156993","696612","8177172","1100000","16434165",""
"322","07-16-2024","nushagak","Nushagak","257483","11212120","138681","6399338","0","17611458",""
"323","07-16-2024","togiak","Togiak","29885","174573","10662","76692","0","251265",""
"324","07-17-2024","ugashik","Ugashik","140219","3706298","128484","1494654","0","5200952",""
"325","07-17-2024","egegik","Egegik","135279","4570477","18108","1091616","0","5662093",""
"326","07-17-2024","naknek","Naknek-Kvichak","525567","7682560","810822","8987994","0","16670554",""
"327","07-17-2024","nushagak","Nushagak","191855","11403975","103732","6503070","0","17907045",""
"328","07-17-2024","togiak","Togiak","29494","204067","17430","94122","0","298189",""
"329","07-18-2024","ugashik","Ugashik","129344","3835642","74406","1569060","0","5404702",""
"330","07-18-2024","egegik","Egegik","82210","4652687","13134","1104750","0","5757437",""
"331","07-18-2024","naknek","Naknek-Kvichak","273236","7955796","571716","9559710","0","17515506",""
"332","07-18-2024","nushagak","Nushagak","115658","11519633","89625","6592695","0","18112328",""
